image_file,label,label_text
1.JPG,"0 0.659722 0.350446 0.414683 0.040179
0 0.795966 0.412450 0.152778 0.036210
","""АНЕМ.492664.500-03LP 497/2"""
102.JPG,"0 0.436012 0.569114 0.496032 0.793651
","""АМ117.07.01.211 29"""
105.JPG,"0 0.520833 0.461328 0.862500 0.711719
","""АМ117.07.01.210 31"""
107.JPG,"0 0.580729 0.447656 0.619792 0.559375
","""АМ117.07.01.210 31"""
109.JPG,"0 0.519531 0.515625 0.625000 0.516667
","""АМ117.07.01.210 32"""
115.JPG,"0 0.461979 0.591016 0.613542 0.596094
","""АМ117.07.01.211 29"""
116.JPG,"0 0.490234 0.488021 0.594531 0.917708
","""АМ117.07.01.211 32"""
117.JPG,"0 0.404297 0.478646 0.533594 0.873958
","""АМ117.07.01.211 32"""
119.JPG,"0 0.445312 0.453516 0.798958 0.480469
","""АМ117.07.01.211 32"""
12.JPG,"0 0.580977 0.334656 0.277530 0.419312
","""1753-30-1013 117"""
120.JPG,"0 0.587302 0.509673 0.791005 0.470238
","""АМ117.07.01.220 13"""
121.JPG,"0 0.550265 0.452257 0.890212 0.531002
","""АМ117.07.01.220 13"""
123.JPG,"0 0.545470 0.478175 0.833664 0.448413
","""АМ117.07.01.220 13"""
124.jpg,"0 0.472222 0.528439 0.473214 0.384921
","""АМ117.07.01.220 15"""
125.JPG,"0 0.485938 0.475781 0.913542 0.557813
","""АМ117.07.01.220 16"""
127.JPG,"0 0.472396 0.472266 0.869792 0.577344
","""АМ117.07.01.220 16"""
130.JPG,"0 0.549219 0.539583 0.550000 0.500000
","""АМ117.07.01.221 16"""
131.JPG,"0 0.488672 0.530384 0.538281 0.401919
","""АМ117.07.01.300 10"""
134.jpg,"0 0.497199 0.500233 0.434174 0.235761
","""АМ117.07.01.300 11"""
136.JPG,"0 0.457292 0.522266 0.743750 0.205469
","""АМ117.07.01.450 9"""
137.JPG,"0 0.531250 0.703125 0.666667 0.553125
","""АМ117.07.01.452 10"""
141.JPG,"0 0.615234 0.491667 0.557031 0.647917
","""АМ117.07.01.210 26"""
157.JPG,"0 0.605407 0.341931 0.228671 0.417328
","""1753-30-1013 117"""
16.JPG,"0 0.533333 0.529297 0.487500 0.157031
","""195-30-1285 2660"""
161.JPG,"0 0.444792 0.524219 0.537500 0.342187
","""195-30-1286 3090"""
162.JPG,"0 0.481771 0.434766 0.390625 0.221094
","""195-30-1286 3085"""
164.JPG,"0 0.468750 0.460156 0.393750 0.210938
","""195-30-1286 3085"""
165.JPG,"0 0.471875 0.453516 0.362500 0.233594
","""195-30-1286 3089"""
166.JPG,"0 0.457813 0.497656 0.442708 0.332813
","""195-30-1286 3089"""
167.JPG,"0 0.409896 0.535547 0.403125 0.250781
","""195-30-1286 3089"""
168.JPG,"0 0.503125 0.507422 0.518750 0.299219
","""195-30-1286-3090"""
169.JPG,"0 0.483854 0.478125 0.440625 0.314063
","""195-30-1286 3092"""
172.JPG,"0 0.476562 0.471094 0.507292 0.254688
","""195-30-1286 3093"""
173.JPG,"0 0.473438 0.469141 0.355208 0.232031
","""195-30-1286 3093"""
175.JPG,"0 0.486979 0.500391 0.478125 0.332031
","""195-30-1286 3093"""
176.JPG,"0 0.482812 0.451172 0.444792 0.241406
","""195-30-1286 3096"""
177.JPG,"0 0.486458 0.497266 0.460417 0.325781
","""195-30-1286 3096"""
179.JPG,"0 0.482812 0.435937 0.434375 0.289062
","""195-30-1286 3099"""
184.JPG,"0 0.443750 0.505078 0.452083 0.344531
","""195-30-1286 3101"""
188.JPG,"0 0.488021 0.483594 0.465625 0.285938
","""195-30-1286 3105"""
19.JPG,"0 0.632031 0.549479 0.295312 0.505208
","""195-30-1285 2661"""
191.JPG,"0 0.490104 0.460156 0.498958 0.321875
","""195-30-1286 3106"""
